University Name,original_index,Times Ranking,CWUR Ranking,QS Ranking,ARWU Ranking,Webometrics Ranking
University of Campinas,407,401–500,346.0,,301-400,
Cankaya University,408,401–500,1917.0,,,1589.0
University of Catania,409,401–500,468.0,,501-600,
Claude Bernard University Lyon 1,410,401–500,232.0,,201-300,
Colorado School of Mines,411,401–500,552.0,501-510,701-800,598.0
Complutense University of Madrid,413,401–500,247.0,226,201-300,
University of Connecticut,414,401–500,198.0,350,301-400,139.0
University of Crete,415,401–500,736.0,591-600,601-700,758.0
University of Cyprus,416,401–500,743.0,,501-600,626.0
University of Denver,417,401–500,838.0,751-800,,590.0
Dublin City University,418,401–500,1078.0,471,801-900,667.0
Duy Tan University,419,401–500,1140.0,801-1000,901-1000,
Edinburgh Napier University,420,401–500,1873.0,801-1000,,
University of Electronic Science and Technology of China,421,401–500,319.0,561-570,151-200,
University of Ferrara,423,401–500,502.0,,601-700,
University of Florence,424,401–500,264.0,460,301-400,
Free University of Bozen-Bolzano,425,401–500,1701.0,701-750,801-900,
University of Genoa,426,401–500,271.0,651-700,501-600,
Georgia State University,427,401–500,537.0,801-1000,501-600,268.0
Hanyang University,429,401–500,307.0,157,201-300,
Hunan University,430,401–500,317.0,591-600,201-300,
University of Ibadan,431,401–500,1172.0,,801-900,1129.0
Illinois Institute of Technology,432,401–500,606.0,443,901-1000,573.0
University of Innsbruck,433,401–500,393.0,,301-400,
Institut Agro,434,401–500,592.0,,,
University of International Business and Economics,435,401–500,1836.0,1201-1400,,
Iowa State University,436,401–500,174.0,481,501-600,104.0
Jazan University,437,401–500,1939.0,,,1948.0
Justus Liebig University Giessen,438,401–500,386.0,490,,448.0
University of Jyväskylä,439,401–500,585.0,347,,
University of Kansas,440,401–500,196.0,369,201-300,164.0
Koç University,442,401–500,1114.0,477,,838.0
University of KwaZulu-Natal,443,401–500,484.0,801-1000,501-600,598.0
University of Lagos,444,401–500,1924.0,,,1560.0
Leibniz University Hannover,445,401–500,497.0,601-650,501-600,
Lincoln University,446,401–500,1551.0,368,701-800,774.0
University of Lincoln,447,401–500,1347.0,801-1000,901-1000,
Liverpool John Moores University,448,401–500,835.0,801-1000,601-700,660.0
University of Marburg,450,401–500,374.0,,401-500,
Maynooth University,451,401–500,1236.0,801-1000,,
Middlesex University,452,401–500,1548.0,751-800,,844.0
University of Modena and Reggio Emilia,453,401–500,523.0,801-1000,501-600,
Muhimbili University of Health and Allied Sciences,454,401–500,1912.0,,,2993.0
Murdoch University,455,401–500,837.0,561-570,401-500,613.0
National and Kapodistrian University of Athens,456,401–500,275.0,601-650,301-400,272.0
University of Nebraska-Lincoln,457,401–500,309.0,651-700,201-300,133.0
University of Nebraska Medical Center,458,401–500,602.0,,701-800,587.0
Norwegian University of Science and Technology,459,401–500,176.0,352,,
Nova Southeastern University,460,401–500,1503.0,1201-1400,,784.0
Örebro University,461,401–500,780.0,,601-700,
University of Pisa,463,401–500,268.0,404,151-200,
University of Plymouth,464,401–500,650.0,651-700,501-600,547.0
University of Porto,466,401–500,308.0,274,201-300,
University of Portsmouth,467,401–500,877.0,701-750,801-900,515.0
Quaid-i-Azam University,470,401–500,739.0,363,901-1000,
Sabancı University,471,401–500,1545.0,,,
Sharif University of Technology,472,401–500,646.0,380,601-700,
Shenzhen University,473,401–500,358.0,581-590,201-300,
University of Siena,474,401–500,490.0,751-800,601-700,
South China University of Technology,475,401–500,220.0,406,151-200,
Southeast University,476,401–500,244.0,461,151-200,3966.0
Southern Medical University,477,401–500,544.0,,401-500,
University of Strathclyde,479,401–500,481.0,325,401-500,372.0
Syracuse University,481,401–500,462.0,751-800,701-800,1188.0
Tianjin University,483,401–500,194.0,307,151-200,
University of Trento,485,401–500,452.0,457,401-500,
University of Turin,487,401–500,230.0,475,201-300,
Umeå University,489,401–500,333.0,369,501-600,
Victoria University of Wellington,492,401–500,703.0,275,401-500,1263.0
University of Waikato,493,401–500,1115.0,331,,660.0
Xiamen University,496,401–500,197.0,422,151-200,
York University,497,401–500,433.0,456,401-500,246.0
Aberystwyth University,498,501–600,874.0,651-700,,
An-Najah National University,499,501–600,1978.0,1001-1200,,1584.0
University of L’Aquila,500,501–600,840.0,,801-900,
Beihang University,501,501–600,269.0,,201-300,
Beijing Institute of Technology,502,501–600,313.0,355,151-200,
University of Bradford,504,501–600,1294.0,701-750,,974.0
Changsha University of Science and Technology,507,501–600,1214.0,,701-800,
University of Côte d’Azur,509,501–600,428.0,,501-600,
Eastern Mediterranean University,512,501–600,1932.0,,,1296.0
Florida International University,515,501–600,467.0,751-800,401-500,255.0
University of Fribourg,516,501–600,677.0,,501-600,
"Goldsmiths, University of London",517,501–600,1736.0,511-520,,936.0
Government College University Faisalabad,518,501–600,1637.0,,,1539.0
University of Greenwich,519,501–600,1281.0,801-1000,601-700,876.0
University of Guelph,520,501–600,479.0,591-600,401-500,325.0
Heriot-Watt University,523,501–600,706.0,281,801-900,515.0
Hokkaido University,524,501–600,221.0,141,201-300,
Hong Kong Baptist University,525,501–600,674.0,281,601-700,523.0
University of Hull,526,501–600,510.0,651-700,701-800,688.0
University of Iceland,527,501–600,593.0,,601-700,
University of Insubria,529,501–600,882.0,,901-1000,
Iran University of Science and Technology,531,501–600,908.0,531-540,,
Jamia Millia Islamia,534,501–600,1677.0,801-1000,,1233.0
Jimma University,535,501–600,1829.0,,,2264.0
Jordan University of Science and Technology,537,501–600,1317.0,,,
Kafrelsheikh University,538,501–600,1826.0,,901-1000,1648.0
Keele University,540,501–600,945.0,751-800,701-800,719.0
University of Kentucky,541,501–600,306.0,701-750,301-400,150.0
Kermanshah University of Medical Sciences,542,501–600,1770.0,,,2891.0
University of Kragujevac,543,501–600,1622.0,1201-1400,,
Kyushu University,544,501–600,240.0,135,301-400,
University of Lille,546,501–600,312.0,,301-400,
University of Lisbon,547,501–600,200.0,335,201-300,
University of Messina,549,501–600,810.0,,801-900,
Middle East Technical University,550,501–600,595.0,501-510,901-1000,
Missouri University of Science and Technology,551,501–600,923.0,501-510,901-1000,
University of Mons,552,501–600,894.0,701-750,801-900,
National Tsing Hua University,553,501–600,415.0,177,401-500,
National Yang Ming Chiao Tung University,554,501–600,310.0,202,401-500,5286.0
University of Neuchâtel,555,501–600,1151.0,,,
Northumbria University,557,501–600,861.0,,601-700,520.0
Northwestern Polytechnical University,558,501–600,367.0,551-560,151-200,11471.0
Nottingham Trent University,559,501–600,1108.0,801-1000,601-700,611.0
Open University of Catalonia,560,501–600,1575.0,,,
University of Peradeniya,561,501–600,1593.0,1001-1200,,1885.0
University of Salerno,563,501–600,599.0,1001-1200,601-700,
University of Saskatchewan,564,501–600,414.0,473,301-400,278.0
University of Sassari,565,501–600,954.0,,,
Sciences Po,567,501–600,680.0,259,,
Shiraz University of Technology,568,501–600,1907.0,,,2571.0
SOAS University of London,569,501–600,1331.0,443,,
University of South Carolina-Columbia,570,501–600,337.0,,401-500,
Southwestern University of Finance and Economics,571,501–600,1208.0,,501-600,
University of Stavanger,572,501–600,1307.0,,,
Stevens Institute of Technology,573,501–600,1218.0,701-750,,825.0
Technion Israel Institute of Technology,576,501–600,165.0,408,83,320.0
University of Trieste,578,501–600,456.0,701-750,601-700,
University of Tsukuba,579,501–600,267.0,312,201-300,
University of Udine,582,501–600,612.0,,701-800,
University of Valencia,584,501–600,284.0,,201-300,
Victoria University,586,501–600,1001.0,701-750,,728.0
Virginia Commonwealth University,587,501–600,260.0,701-750,201-300,199.0
Wayne State University,588,501–600,315.0,601-650,501-600,244.0
Xi’an Jiaotong University,590,501–600,180.0,302,101-150,
University of Zambia,591,501–600,1583.0,,,2308.0
Zhejiang Normal University,593,501–600,890.0,,501-600,
Åbo Akademi University,595,601–800,1104.0,601-650,,988.0
Addis Ababa University,596,601–800,1093.0,,701-800,1295.0
Ajou University,598,601–800,744.0,488,801-900,
American University,600,601–800,1003.0,701-750,,
Amirkabir University of Technology,602,601–800,790.0,443,601-700,747.0
Auburn University,605,601–800,554.0,1001-1200,501-600,321.0
Bahçeşehir University,608,601–800,1698.0,,,
Banaras Hindu University,610,601–800,885.0,1001-1200,,1037.0
Bar-Ilan University,612,601–800,547.0,501-510,301-400,574.0
Baylor University,613,601–800,499.0,1001-1200,501-600,427.0
Ben-Gurion University of the Negev,615,601–800,355.0,490,401-500,430.0
Benha University,616,601–800,1723.0,,,1155.0
Ca’ Foscari University of Venice,618,601–800,1219.0,801-1000,,
University of Canterbury,620,601–800,539.0,,401-500,496.0
Capital Medical University,621,601–800,380.0,,301-400,
Carleton University,622,601–800,534.0,601-650,501-600,344.0
University of Central Florida,623,601–800,473.0,801-1000,301-400,220.0
Central Queensland University,624,601–800,1679.0,,,
Chongqing University,625,601–800,332.0,651-700,201-300,
Chung-Ang University,626,601–800,637.0,,701-800,
Clark University,627,601–800,1295.0,751-800,,1043.0
University of Coimbra,628,601–800,413.0,438,501-600,
COMSATS University Islamabad,630,601–800,745.0,1001-1200,501-600,
Concordia University,631,601–800,613.0,551-560,501-600,
University of Costa Rica,633,601–800,1350.0,,,
Cyprus University of Technology,635,601–800,1729.0,,,1514.0
Dalian University of Technology,636,601–800,282.0,561-570,201-300,
De Montfort University,638,601–800,1516.0,801-1000,,757.0
University of Dhaka,641,601–800,1773.0,801-1000,,987.0
University of Eastern Finland,643,601–800,478.0,551-560,601-700,
Eötvös Loránd University,647,601–800,517.0,701-750,,
Fayoum University,648,601–800,1321.0,,,2154.0
Federation University Australia,651,601–800,1680.0,,,1239.0
Gabriele d‘Annunzio University,652,601–800,927.0,,,
University of Georgia,653,601–800,210.0,,,121.0
Glasgow Caledonian University,654,601–800,1607.0,1001-1200,,1208.0
University of Granada,655,601–800,327.0,494,201-300,
University of Graz,657,601–800,568.0,,601-700,
Graz University of Technology,658,601–800,833.0,284,801-900,
Guangzhou University,659,601–800,879.0,,501-600,
Guangzhou Medical University,660,601–800,678.0,,501-600,
Hacettepe University,661,601–800,652.0,801-1000,601-700,
University of Haifa,662,601–800,656.0,701-750,501-600,554.0
Hamburg University of Technology,663,601–800,1500.0,,,
University of Hertfordshire,665,601–800,1132.0,801-1000,901-1000,747.0
University of Houston,666,601–800,262.0,751-800,201-300,184.0
University of Huddersfield,667,601–800,1418.0,651-700,,756.0
Imam Abdulrahman Bin Faisal University,670,601–800,1638.0,,,
Indian Institute of Technology Indore,671,601–800,1433.0,396,,
Iran University of Medical Sciences,674,601–800,1223.0,,901-1000,980.0
Istanbul Technical University,675,601–800,698.0,601-650,901-1000,
Jagiellonian University,676,601–800,381.0,293,401-500,
Jawaharlal Nehru University,678,601–800,816.0,601-650,701-800,1098.0
Jiangsu University,679,601–800,508.0,,201-300,
